"package","n"
"ragg",3448747
"textshaping",3377389
"ggplot2",2655965
"rlang",2046268
"pkgdown",2045335
"devtools",2019578
"rgl",1831309
"cli",1797014
"vctrs",1699989
"dplyr",1674962
"lifecycle",1667040
"sf",1585819
"tibble",1530880
"pillar",1420906
"rgeos",1357183
"jsonlite",1236229
"glue",1230107
"tidyverse",1213287
"stringr",1205262
"magrittr",1157261
"purrr",1141970
"tidyselect",1118994
"withr",1099999
"systemfonts",1064983
"cpp11",1057994
"Hmisc",1040936
"fansi",1018652
"Rcpp",1011752
"utf8",1000702
"R6",990011
"htmltools",989882
"scales",965319
"stringi",959746
"xfun",954526
"tidyr",952687
"curl",942652
"rmarkdown",923623
"knitr",923584
"digest",900722
"pkgconfig",891815
"fs",884202
"gtable",871181
"bslib",867801
"generics",861260
"labeling",859577
"httr",854484
"readxl",851241
"crayon",834271
"hms",827376
"fastmap",822585
"tinytex",821239
"fontawesome",821026
"readr",819040
"jquerylib",818991
"sass",816837
"viridisLite",801939
"colorspace",799716
"evaluate",796570
"xml2",787002
"RColorBrewer",781445
"cachem",772281
"openssl",772055
"isoband",764660
"processx",763110
"yaml",762789
"ellipsis",761180
"askpass",754527
"prettyunits",754469
"farver",751511
"vroom",746490
"mime",744111
"lubridate",726037
"memoise",724993
"rappdirs",723896
"highr",709459
"munsell",707268
"base64enc",703841
"data.table",694988
"callr",688397
"sys",687108
"tzdb",681102
"ps",671381
"broom",667392
"igraph",666826
"rstudioapi",647902
"bit",632035
"rematch2",626658
"progress",625586
"timechange",605278
"dbplyr",591709
"haven",590304
"rematch",588496
"pkgload",583440
"bit64",558716
"forcats",557164
"testthat",549736
"uuid",548185
"clipr",542143
"rvest",527747
"zoo",522079
"backports",515808
"rprojroot",515753
"cellranger",509701
"gargle",505795
"waldo",500840
"DBI",498135
"desc",493965
"googledrive",487092
"Matrix",486871
"googlesheets4",477979
"modelr",468456
"commonmark",467710
"conflicted",456619
"reprex",452547
"dtplyr",451683
"blob",446270
"htmlwidgets",445112
"remotes",441072
"brio",435350
"diffobj",433447
"shiny",430350
"promises",420320
"praise",420202
"lme4",415052
"selectr",410466
"abind",394702
"plyr",390605
"minqa",388032
"RcppArmadillo",385760
"later",385153
"RcppEigen",383399
"httpuv",370926
"car",363642
"ids",358147
"markdown",357611
"nloptr",346511
"gridExtra",341164
"lazyeval",335608
"pkgbuild",333430
"quantreg",327951
"MatrixModels",324953
"renv",324395
"mvtnorm",319439
"numDeriv",317978
"xtable",299390
"e1071",291467
"viridis",288086
"lmtest",285175
"sourcetools",284811
"zip",282250
"SparseM",278948
"forecast",274473
"reshape2",261644
"proxy",260952
"carData",260453
"crosstalk",258812
"bitops",256610
"pbkrtest",256326
"BH",252921
"png",251530
"xts",249268
"MASS",243178
"checkmate",241911
"ggrepel",231928
"plumber",230881
"plotly",216798
"foreach",216112
"sp",214316
"units",212812
"openxlsx",212792
"reticulate",212256
"credentials",207189
"iterators",206783
"gert",204618
"quadprog",201504
"globals",199913
"psych",199015
"quantmod",198050
"Formula",196304
"raster",196058
"tseries",194740
"corrplot",194037
"R.utils",192312
"usethis",191722
"XML",189440
"DT",186828
"future",186154
"sessioninfo",185920
"sandwich",182860
"miniUI",182823
"insight",182726
"ggpubr",182136
"RCurl",180033
"classInt",178980
"parallelly",178114
"roxygen2",176814
"matrixStats",174090
"rstatix",173403
"httr2",173014
"R.methodsS3",171796
"R.oo",170568
"profvis",168762
"rcmdcheck",168374
"TTR",167002
"gtools",166533
"cowplot",165963
"whisker",165575
"timeDate",165031
"gh",163488
"downlit",161157
"terra",159612
"jpeg",159356
"brew",157926
"RcppTOML",156927
"xopen",156298
"shape",156267
"here",151464
"BiocManager",151144
"listenv",150703
"gitcreds",150572
"patchwork",149710
"htmlTable",147592
"recipes",144755
"ini",144522
"urlchecker",142858
"progressr",142676
"rversions",142134
"foreign",141934
"datawizard",141094
"nlme",138560
"rJava",137718
"caret",137302
"inline",136941
"future.apply",135775
"urca",135765
"mnormt",134545
"wk",134127
"ggsci",133210
"survival",131503
"multcomp",130747
"polynom",129698
"ggsignif",129247
"prodlim",128986
"s2",126458
"clock",123912
"hardhat",123673
"fracdiff",122638
"pROC",120280
"assertthat",117835
"glmnet",117743
"mgcv",117361
"writexl",117027
"emmeans",116827
"ipred",116342
"caTools",115146
"estimability",111795
"keras",109938
"janitor",108711
"reshape",108271
"doParallel",107227
"TH.data",106628
"lava",104802
"gt",104635
"RSQLite",102150
"coda",101981
"diagram",101654
"gower",100806
"snakecase",99568
"polyclip",96919
"sparklyr",96668
"SQUAREM",95598
"gSeg",95422
"kerSeg",95403
"qpdf",95214
"webshot",94701
"KernSmooth",94425
"svglite",93722
"anytime",93468
"deldir",93332
"rex",93172
"Rborist",92804
"xlsx",92053
"covr",91202
"rjson",90613
"leaps",90506
"odbc",90349
"pbapply",89993
"gplots",88198
"scatterplot3d",87498
"rbibutils",87020
"maps",86698
"jose",85460
"lpSolve",85427
"Rdpack",84950
"AzureAuth",83694
"spatial",82939
"plogr",82302
"AzureGraph",81952
"RcppParallel",81195
"xmlparsedata",80953
"nortest",80856
"kableExtra",80801
"ggforce",80760
"AzureRMR",80419
"ellipse",79278
"V8",79255
"multcompView",78936
"furrr",77368
"formatR",77251
"DEoptimR",77064
"vegan",77047
"labelled",76964
"rsample",76349
"tweenr",75678
"ggridges",75142
"GGally",74797
"ModelMetrics",74783
"deSolve",73601
"arrow",72761
"FactoMineR",72748
"plotrix",72675
"DescTools",72175
"lattice",71454
"expm",70953
"robustbase",70700
"leaflet",70498
"rlist",70234
"magick",69752
"randomForest",69717
"pacman",69430
"kernlab",69119
"shinyjs",68412
"styler",68333
"ape",68279
"pracma",68139
"StanHeaders",67853
"triebeard",66933
"gridtext",66615
"survey",66559
"ggthemes",66481
"filelock",65991
"performance",65592
"packrat",65586
"futile.logger",65583
"fastmatch",65482
"crul",65228
"rstan",64753
"nnet",64227
"spatstat.geom",63996
"urltools",63884
"snow",63637
"getopt",62857
"permute",62815
"rio",62767
"parameters",62661
"rsconnect",61475
"slider",61125
"xgboost",60842
"rgdal",60260
"FNN",60240
"timetk",59957
"httpcode",59500
"graphlayouts",59214
"ROCR",59019
"modeltools",58915
"lambda.r",58865
"reactable",58693
"dendextend",58684
"locfit",58658
"futile.options",58404
"optparse",58117
"warp",57922
"mitools",57715
"moments",57491
"nycflights13",57080
"lmom",56925
"R.cache",56620
"vcd",56389
"sparklyr.nested",56374
"tsfeatures",56287
"spatstat.random",56170
"class",56028
"rootSolve",55821
"factoextra",55685
"reactR",55514
"ranger",55195
"yulab.utils",55113
"maptools",55018
"rpart",54869
"ggtext",54836
"xlsxjars",54695
"lmerTest",54117
"lavaan",54071
"repr",53664
"mice",53661
"spatstat.explore",53558
"gmp",53322
"SnowballC",53281
"effectsize",53055
"rpart.plot",52962
"flashClust",52959
"bayestestR",52752
"officer",52721
"interp",52467
"gdtools",52435
"timeSeries",52300
"mclust",51820
"bayesplot",51512
"config",51021
"flextable",50865
"leaflet.providers",50403
"tidymodels",50380
"slam",49881
"pander",49731
"bookdown",49484
"tm",49482
"shinyWidgets",49278
"palmerpenguins",49199
"clue",48688
"ucminf",48416
"juicyjuice",48143
"survminer",47548
"sodium",47520
"pan",46715
"ordinal",46406
"RcppProgress",45981
"statmod",45762
"gld",45750
"libcoin",45514
"gdata",45514
"gapminder",45461
"cyclocomp",45238
"cluster",45176
"bdsmatrix",44869
"ggraph",44762
"tidygraph",44759
"gfonts",44523
"chron",44464
"latticeExtra",44323
"fontquiver",44248
"aws.ec2metadata",44246
"tune",44186
"Exact",44129
"RPostgres",44097
"jomo",43961
"hexbin",43910
"mitml",43820
"shinydashboard",43667
"lintr",43584
"stargazer",43490
"fontLiberation",43487
"Cairo",43301
"fontBitstreamVera",43262
"QuickJSR",43200
"installr",42920
"ade4",42544
"listviewer",42146
"lobstr",42130
"dqrng",42090
"RcppRoll",41901
"skimr",41900
"distributional",41876
"stars",41531
"boot",41138
"swagger",40996
"infer",40587
"visNetwork",40536
"loo",40440
"ggmap",40301
"tidytext",39975
"rms",39697
"combinat",39596
"arm",39461
"NLP",39273
"bigD",39228
"ggfun",39097
"yardstick",39093
"parsnip",39046
"Rmpfr",38838
"dygraphs",38458
"colourpicker",38353
"collapse",37895
"codetools",37599
"effects",37571
"extrafont",37432
"plm",37431
"rapidjsonr",37410
"Rttf2pt1",37319
"spatstat.utils",37071
"downloader",36922
"sjlabelled",36867
"parsedate",36759
"pheatmap",36674
"fitdistrplus",36544
"vdiffr",36456
"dotenv",36381
"coin",35967
"RPostgreSQL",35922
"gss",35795
"miscTools",35792
"pbivnorm",35770
"fields",35759
"pscl",35745
"AER",35598
"ggplotify",35594
"stringdist",35572
"tokenizers",35537
"VGAM",35526
"sfheaders",35492
"irlba",35365
"fBasics",35194
"goftest",35144
"ggcorrplot",35057
